Request Per Sec,Response Time
0.0083,86
0.0333,48.5
0,0
0.0083,34
0,0
0.0167,65.5
0.0417,38
0.0417,39.8
0.0417,44.4
0.0417,53.8
0.0167,54
0,0
0.025,31
0,0
0.0083,41
0.0333,40.25
0.0083,38
0,0
0,0
0.0333,51
0.0083,63
0.0167,36
0.0333,24
0.0083,36
0,0
0,0
0,0
0.0417,39.8
0.0083,62
0.0083,28
0.0083,36
0.0167,69.5
0.025,28.6667
0,0
0.0083,33
0.0333,44.75
0.0167,62
0.075,42
0.0417,40.2
0.1083,75.8462
0.0333,33.5
0.05,70.5
0.0083,73
0,0
0.025,72
0.05,71.5
0.025,43.3333
0.0167,75
0.0833,45.8
0,0
0.0083,56
0.025,32.6667
0.075,40.6667
0,0
0.0083,44
0,0
0.0083,29
0,0
0.0083,76
0,0
0.0167,28
0.0167,26.5
0,0
0.0167,57.5
0.0167,43.5
0.0167,79.5
0,0
0.0417,85.6
0,0
0.075,58.3333
0.0917,118.1818
0.025,42
0.05,70.6667
0.0333,62.75
0.0167,49
0.025,70
0.0333,75.5
0.025,53.3333
0.025,31
0.0083,26
0.025,44.3333
0,0
0,0
0,0
0.0167,57.5
0.0083,51
0.0083,33
0.0083,72
0,0
0.025,79.3333
0.0333,70.5
0,0
0,0
0,0
0.025,24.6667
0.0417,23.6
0,0
0,0
0,0
0.0167,67.5
0,0
0.0333,54.75
0,0
0.025,53.6667
0.0167,36
0.0167,71.5
0.0417,72.2
0,0
0.0167,34
0.0083,81
0,0
0.0167,34
0.0417,38.8
0.025,71.6667
0,0
0,0
0.0333,62.75
0.025,51.3333
0,0
0.1583,36
0.0333,66
0.0083,38
0.0167,27
0.0167,66.5
0.0583,41
0.0083,38
0.0167,63.5
0.0083,63
0.0083,30
0.0417,86
0.025,65
0.025,39
0.0167,26.5
0.0333,88.5
0.0583,85.7143
0,0
0.0167,73.5
0.0083,58
0,0
-1,0
0,0
0.0417,60
0.0083,61
0.0583,41.4286
0,0
0.0083,29
0.0667,68.625
0,0
0.0167,36.5
0,0
0.025,76.3333
0.025,56.6667
0.0333,46.25
0,0
0,0
0.0167,54
0.075,78.4444
0.0083,29
0.0167,56.5
0.0583,54.4286
0,0
0.025,62
0.0417,76.2
0.0333,66.5
0.0083,20
0.025,54
0.025,35.6667
0.0583,35.1429
0.05,76.3333
0.025,144
0.0583,69.8571
0.0333,29
0.025,29.6667
0,0
0.0333,56.75
0.0583,53.2857
0.0417,36
0,0
0.0333,45.25
-1,0
0.025,28.6667
0,0
0,0
0.025,163.3333
0,0
0.0417,36.6
0.0667,71.875
0.0417,65.8
0.025,30
0.0583,62.4286
0.0167,89
0,0
0.0417,31.4
0.0083,55
0.05,68.3333
0.025,157.3333
0,0
0.0167,27.5
0.0083,37
0.0417,56.2
0.0167,30.5
0.05,79.8333
0.0417,70.2
0,0
0,0
0.0083,19
0.025,66.3333
0.025,74.3333
0,0
0.0167,38
0.025,83.6667
0.025,57.3333
0.0167,22
0.125,45.3333
0,0
0.0083,29
0.025,74.3333
0.0417,31.8
0.0333,39.25
0.0167,102
0.0167,47.5
0.025,123.6667
0.0167,32
0.05,80.3333
0.025,27
0.0417,90.6
0.0083,62
0.0583,40.2857
0.0167,66
0.0083,30
0,0
0.0167,45
0.0333,42.25
0.0167,59.5
0,0
0.0417,27.2
0.0083,35
0.0083,41
-1,0
0.025,34
0.0167,29
0.0333,28.5
0,0
0.0167,234
0.0083,71
0.0417,63.8
0.0167,161.5
0.0167,29
0,0
0.025,69.3333
0,0
0,0
0,0
0,0
0.0333,46.75
0.025,61.6667
0.0167,63.5
0.075,42.3333
0.0167,44
0.025,38.3333
0.0167,87
0,0
0.0083,74
0.0333,53.5
0.0083,379
0,0
0.025,59.6667
0.025,42
0,0
0.025,80.3333
0.0417,29.8
0.0333,36.25
0.0333,82.5
0.0167,39
0,0
-1,0
0.0167,43.5
0.0333,26.25
0.025,34
0.0083,22
0.05,69.6667
0,0
0.0417,49.2
0.0083,59
0.0083,35
0.0917,48.8182
0,0
0.0167,50
0.0083,47
0.0083,52
0.025,64.3333
0.0167,61
0.0083,61
0.0417,42.6
0,0
0.075,66.3333
0,0
0,0
0.0167,63
0.0167,82
0.0333,48
0,0
0.0167,60.5
0.025,34
0.0083,72
0,0
0,0
0.0083,54
0,0
0,0
0.0167,38.5
0.0083,64
0.0083,42
0.025,71.6667
0.0583,33.8571
0.025,69
0.0917,65.6364
0,0
0.0083,57
0,0
0.0333,52.5
0,0
0.0083,53
0.0083,60
0,0
0.0167,77.5
0.025,28
0,0
0.0083,59
0,0
0.0333,71
0.0417,62.2
0.0167,58.5
0.0333,31.25
0,0
0.0167,36.5
0.0083,28
0.075,38.7778
0,0
0,0
0.0167,36.5
0,0
0.0417,42.2
0.0417,66.2
0.0083,68
0.0167,64.5
0,0
0,0
0,0
0.0333,35
0.05,76
0.05,33.5
0.0083,53
0.0583,42.1429
0.0167,52.5
0.0417,35.4
0.025,59.3333
0,0
0,0
0.0167,37.5
0,0
0.05,75.8333
0.025,44.3333
0,0
0,0
0.0083,40
0,0
0.0833,57.7
0.0083,57
0.0167,53.5
0,0
0.0083,65
0,0
0.0333,47.25
0,0
0.0417,53.8
0.0333,39
0,0
0.0917,52.5455
0.0167,35.5
0,0
0.0167,51.5
0.0167,32
0,0
0.0333,66.25
0.0083,33
0,0
0,0
0.0083,44
0.0083,55
0.0417,34.6
0.025,54.6667
0.0667,74.5
0.025,37.3333
0.0083,37
0.0083,83
0.0833,72.5
0,0
0.1167,47.5
0.0583,91
0,0
0.0083,50
0.125,100.2667
0.025,32
0.0083,29
0.05,149.8333
0.0167,60.5
0,0
0.0417,39.6
0.0167,63.5
0.0083,104
0.0167,55.5
0,0
0,0
0.0333,24.25
0.0083,86
0.0167,67.5
0.0333,57.25
0,0
0.0667,67.625
0.0417,44.4
0.025,64.3333
0,0
0.0167,50
0.0167,67.5
0.025,50.3333
0.0167,47
0.075,74.6667
0.025,26.3333
0.0083,30
0.0167,26.5
0.0083,34
0.05,56.8333
0,0
0,0
0.025,35
0.0333,83.5
0.0417,66.6
0.0083,29
0,0
0,0
0,0
0.0417,80.4
0.025,30.6667
0,0
0,0
0.0167,56
0.0083,29
0,0
0.0167,75.5
0.025,35.3333
0.025,86.6667
0.0667,45.875
0.0417,31.8
0.025,67.6667
0.0333,75
0,0
0.0417,42.2
0.0333,44.75
0,0
0.125,109
0.05,24
0.0167,29
0.0167,74.5
0.0083,97
0,0
0.0917,34.6364
0,0
0.15,45.9444
0,0
0,0
0.025,31.3333
0.0167,66.5
0.0333,58.5
0,0
0.05,60.1667
0.0167,39
0.0333,27.75
0.0167,37.5
0.0833,223.1
0.0083,90
0.0083,35
0.0083,96
0.0167,58
0.0333,80.75
0.0167,37
0.0583,73.8571
0.05,87.3333
0,0
0.05,71.6667
0.025,89.3333
0,0
0.0167,33.5
0.0417,64
0.0833,41.5
0.0083,34
0.0417,47
0.0083,70
0.0167,73.5
0.0417,77.2
0.0417,46.8
0,0
0.025,55
0.0083,66
0,0
0.0083,66
0.0667,29.5
0.025,24.3333
0.0167,76.5
0,0
0,0
0.0167,37
0,0
0.0417,62
0.0917,72.1818
0,0
0.025,50.3333
0.0167,63.5
0.0167,58
0.025,68.6667
0.0167,29.5
0,0
0,0
0.0167,69
0.0083,62
0.0083,65
0.0333,36.25
0.0333,46.5
0.025,37
0.075,80.5556
0.025,30.3333
0.0833,73.2
0.0167,27
0,0
0.0083,27
0.025,86
0,0
0.0083,67
0,0
0,0
0.0083,52
0.0083,30
0.0167,29
0.05,50.6667
0.0583,40.2857
0.05,45.8333
0.0333,74.25
0,0
0,0
0,0
0.025,22.6667
0.0083,31
0.0167,60.5
0.05,87.5
0.0167,66.5
0,0
0.0167,54.5
0,0
0.025,52.6667
0.0583,79
0.025,70.3333
0,0
0.0167,61
0,0
0.0583,56.1429
0.0667,70.75
0.025,77.6667
0,0
0.0083,70
0.0083,31
0.0167,37.5
0.0083,23
0.025,56.6667
0.0167,99
0.0333,44.25
0.0333,73.75
0.0417,95
0.025,42.3333
0.0417,65
0.0083,66
0.0167,57.5
0.025,59.6667
0.05,38.5
0.0083,66
0.0833,56.1
0.0417,66.4
0.025,51.6667
0,0
0.0167,34
0,0
0.0167,83
0.0333,37.25
0.0167,64.5
0.0083,56
0.0167,30.5
0.0167,78
0.0583,48.8571
0.0167,298.5
0.0167,45
0,0
0.025,25
0,0
0,0
0.025,56.6667
0.0167,27
0,0
0.025,33.3333
0.0083,70
0.0083,53
0.025,28
0.0333,49
0.0083,64
0.0167,34.5
0.0667,61.125
0,0
0.0167,54
0.0333,27.5
0.0417,53.4
0.0417,62.2
0,0
0.0167,41
0.0333,53.25
0,0
0.0167,82
0.0583,34
0.0417,75.2
0.0167,80
0.05,79
0.0083,41
0.0417,27.6
0.0083,72
0.0167,50
0,0
0.025,62.3333
0.0333,79.25
0.0417,35.8
0.025,58.6667
0.0083,36
0.0083,27
0.0167,28
0.025,35.3333
0.0083,79
0.0417,23.6
0.0167,88
0,0
0,0
0.0083,64
0.0333,48
0,0
0,0
0.0417,83.2
0.05,64.3333
0,0
0.0333,72.5
0.0417,24
0.0083,39
0.0083,29
0.0333,41.75
0.0167,30.5
0.0083,28
0,0
0.0333,62.25
0,0
0.0667,34.625
0,0
0.0167,30
0,0
0.0167,53.5
0.0333,62.5
0,0
0.0083,57
0.0083,45
0,0
0.025,37.6667
0.0333,35.75
0,0
0.0417,26
0,0
0,0
0.0083,56
0.0417,25.6
0.0083,24
0,0
0.025,69.6667
0.0333,38.25
0.0167,58.5
0,0
0.05,31.3333
0,0
0,0
0,0
0.05,57.1667
0.0083,31
0.0167,46.5
0.0417,58
0.0083,24
0.0083,33
0.025,73.3333
0.025,68.3333
0.025,54.3333
0.025,38.3333
0.0833,63.4
0.025,36.3333
0,0
0.025,25
0,0
0.0333,32.75
0.0083,38
0.0083,27
0,0
0.0083,48
0,0
0.0167,80
0.0083,24
0,0
0.025,30.6667
0,0
0,0
0.0583,34.7143
0,0
0.025,44.6667
0,0
0.025,45.6667
0.0167,40
0.0083,46
0.0083,65
0.0917,58.7273
0,0
0.0083,43
0.0167,96.5
0,0
0,0
0,0
0.05,75.5
0.05,28.6667
0,0
0,0
0,0
0.025,58.3333
0.0167,73
0,0
0.0333,37
0.025,56.3333
0,0
0.0083,65
0.0333,44.25
0,0
0,0
0,0
0,0
0.0083,38
0.0333,56
0.0333,24.25
0.0333,62.75
0.0333,52
0.075,54.3333
0.025,50.6667
0.0083,43
0.0333,36.25
0.0083,71
0.0083,44
0.025,65.3333
0.0083,65
0.0917,41.1818
0.0083,54
0.0667,46.5
0.0333,64.5
0.0583,40.2857
0.0083,93
0.025,38
0.0083,61
0,0
0,0
0.0083,37
0.025,59.6667
0,0
0,0
0,0
0.0083,63
0.0083,64
0.0417,68.4
0.0083,52
0.025,59.3333
0.1,46.6667
0,0
0.0167,28
0.0167,38
0.0417,44.6
0.0083,37
0,0
0,0
0,0
0.0333,49
0.025,65.6667
0.0083,38
0.0667,59.625
0.0083,81
0,0
0,0
0.0167,55.5
0.0167,67.5
0.0083,25
0.025,67.3333
0,0
0,0
0,0
0.025,44.3333
0.0333,77.25
0.0667,57.5
0.0417,59.6
0,0
0.0917,68.3636
0.0333,55.5
0,0
0.0167,41
0.025,35
0.0083,36
0.0083,57
0,0
0,0
0.0167,54
0,0
0.0167,67
0,0
0.0167,78.5
0,0
0.025,30.6667
0.0333,56.25
0.0167,69
0.0333,31.5
0.0167,72.5
0.0167,52
0,0
0.025,42.3333
0,0
0,0
0.0083,60
0.0083,48
0,0
0.0167,40.5
0.0083,68
0.025,190.3333
0.025,57.3333
0.0333,69.25
0.025,39.3333
0,0
0.0333,42
0,0
0.0583,38.1429
0.025,63.3333
0,0
0,0
0.025,52
0,0
0,0
0.025,24
0.125,35.2667
0,0
0.025,57
0.0417,98.4
0,0
0,0
0.0667,46
0.05,43
0.0083,46
0.0083,46
0.0083,77
0.0583,63.7143
0.0083,62
0.05,42.5
0.0167,103
0.0083,31
0.0083,64
0.0583,41.1429
0,0
0.0167,62
0,0
0.0167,53.5
0,0
0.0167,64.5
0,0
0.0083,59
0,0
0.0833,75.7
0.0083,57
0.05,31.3333
0,0
0.0667,53.375
0,0
0.025,30.6667
0.025,61.3333
0.025,52.3333
0.0167,67
0,0
0.05,36
0.0417,59
0,0
0.05,47
0.0083,66
0.025,59
0,0
0.0167,63.5
0,0
0,0
0,0
0.0167,72
0.0167,37
0.0083,30
0.025,27
0.025,68
0,0
0.0667,31
0,0
0.0083,65
0,0
0,0
0.0333,162.5
0.0083,22
0.0167,60
0.0167,24.5
0.0167,70.5
0.0417,79.8
0,0
0.0083,52
0,0
0.025,39.3333
0.0083,72
0.0167,57.5
0.0083,157
0.0333,32.25
0,0
0.0333,83.25
0,0
0.0167,68
0.025,41
0.0083,56
0.0667,83.875
0.0583,68.7143
0,0
0.0417,61.6
0.0083,46
0.025,69.6667
0.0167,65
0.0167,58.5
0.025,72
0.05,38.3333
0,0
0,0
0.05,82.1667
0.0083,36
0.0083,74
0.0083,67
0.0167,54.5
0.0167,62
0.0417,40.6
0.05,36.3333
0,0
0,0
0.0333,66.25
0,0
0,0
0.0083,57
0.0083,37
0.0333,67.75
0.0167,49
0.025,33.6667
0.05,44
0.05,41.6667
0,0
0.0083,107
0.0167,34
0,0
0,0
0.0083,55
0.0083,54
0.0417,55.2
0.025,60
0.0167,34
0.025,30.3333
0.0167,28.5
0,0
0,0
0.0083,35
0.0167,70.5
0.0083,80
0.0167,79
0.025,41
0.05,92.6667
0.0083,35
0.025,28.6667
0.0667,46.75
0,0
0,0
0,0
0.025,56.6667
0.0083,32
0.0167,40
0,0
0.0083,29
0.0333,66
0.05,53.6667
0,0
0.0083,59
0.025,64
0.025,60
0.0583,77.7143
0.0083,29
0.0083,37
0.0083,54
0.05,53.1667
0,0
0.0333,51.75
0.0083,45
0.0167,62.5
0.0083,72
0.0083,31
0.0083,59
0,0
0.0083,53
0.05,86.3333
0.025,40
0,0
0.025,67
0.025,69.3333
0.0583,34.4286
0.0667,48.875
0.0417,58
0.0167,28.5
0.0083,40
0,0
0.1083,52.5385
0,0
0.0167,215
0.0083,79
0.0083,33
0.0083,35
0.0667,45.5
0.025,39
0.0167,28
0.025,32
0.0333,86.25
0.0333,41.75
0,0
0.0167,30.5
0.0083,42
0.0167,46
0.0167,29
0,0
0.0167,57
0.0083,61
0.0083,49
0.025,72
0.0583,50.4286
0.075,80
0.0333,45
0.025,37
0,0
0.0083,46
0.05,83.6667
0.05,56.8333
0.0167,66.5
0.0167,82.5
0.0583,70.8571
0.025,29.6667
0,0
0.025,75.3333
0.0667,71.25
0.0083,26
0.0167,33
0.05,58.6667
0.0417,115.6
0.025,46.3333
0.0333,42.25
0.0083,60
0.0083,55
0,0
0.0333,57
0.0083,28
0,0
0,0
0.0583,74.5714
0.0083,51
0.05,27
0.0167,29.5
0,0
0.025,61.3333
0,0
0.025,63
0.05,66.8333
0.0083,36
0.0333,53
0.025,73.6667
0,0
0.0583,50.7143
0.0083,29
0.0417,38.6
0.025,43
0,0
0,0
0.0583,62
0.025,31.6667
0.0333,57.25
0.0167,49.5
0,0
0,0
0.0333,43.25
0,0
0.0583,69.4286
0.05,42
0.0333,40
0.05,29
0.0417,54.4
0.0083,66
0.0083,51
0.05,69.8333
0.0083,30
0.025,68.6667
0,0
0,0
0.05,79.3333
0.025,77.3333
0,0
0.025,69.3333
0,0
0.0167,57.5
0.0417,56
0,0
0,0
0.0333,44.5
0.0333,67.75
0.0667,42.75
0,0
0.025,30.6667
0.0083,56
0.0667,54.25
0.025,67.6667
0.075,58.8889
0.0167,30
0.025,65.6667
0.075,126.4444
0.0083,38
0.0417,55.4
0.0167,68
0.0167,58
0.0167,35.5
0.025,211.3333
0,0
0.0417,84
0.0167,60.5
0.0167,44
0.0167,73
0.0167,52
0.0333,62.5
0.0167,49.5
0.0333,36
0.1,34.4167
0.0083,97
0.025,64.6667
0.0083,40
0,0
0.05,48
0.0667,55.25
0.025,45
0.0083,68
0.05,44.6667
0.05,40
0.075,31
0.0333,59
0.0167,26
0.025,84
0.0083,35
0.0083,36
0.025,39.3333
0.0167,96
0.075,67.7778
0.0167,45
0.0083,36
0.0083,29
0.05,29.5
0.0667,70.25
0.0083,99
0,0
0,0
0.025,55.6667
0,0
0.0583,116.7143
0.0083,59
0.0417,74.4
0.0167,69.5
0.025,66
0.075,63.1111
0.0667,70.875
0.025,40
0,0
0.0167,66
0,0
0,0
0.0167,72.5
-1,0
0.0083,37
0.0083,54
0.0083,45
0.0583,57.1429
0.0333,43.25
0,0
0.025,70
0.025,61.3333
0,0
0.0167,22.5
0,0
0.0167,30
0.0083,35
0.0167,41
0,0
0.025,58
0.0083,48
0.0167,54
0.0333,46.5
0.025,28.6667
0.075,70.7778
0.0167,31
0,0
0.0167,51
0,0
0.075,35.1111
0.0083,30
0,0
0,0
0,0
0.0167,55.5
0.0333,202
0.0333,57.25
0,0
0.0167,78.5
0.0167,66.5
0,0
0,0
0.0417,70.4
0,0
0.0083,35
0.0083,57
-1,0
0.0667,37.75
0.0167,50.5
0,0
0.1167,60.8571
0,0
0.0167,88.5
0.0083,66
0.0167,59
0.0417,71.8
0.05,63.8333
0.05,65.3333
0.0333,60.75
0.0417,33.6
0,0
0.0417,23.8
0.025,57.3333
0.0083,88
0.0333,58.25
0.025,29.6667
0,0
0,0
0,0
0.0667,48.875
0,0
0.0833,32.1
0.0083,67
0.025,32.6667
0.0083,43
0.0083,71
0,0
0.0167,89
0.0083,33
0.0167,32
0.0083,59
0.0083,85
0,0
0.0167,20
0.025,36.3333
0.0333,68.75
0.025,45.3333
0,0
0.0417,47.6
0,0
0,0
0.0083,55
0.0083,56
0.0167,35
0,0
0,0
0.05,80.6667
0.025,34.6667
0.0083,65
0.0417,69
0,0
0.0083,32
0.0167,89
0.05,69.5
0.0083,54
0,0
0.0083,38
0.0667,74.375
0.0083,76
0.0167,27
0.05,48.3333
0,0
0.0333,74
0.0417,49.6
0,0
0.0583,43.8571
0.0167,43
0.0333,68.75
0.0583,56.8571
0.05,39.5
0.025,72.3333
0,0
0.0417,37.8
0.0083,98
0.0167,79
0,0
0.0333,65.5
0.0083,34
0.0333,32.25
0.0167,33
0.0167,56
-1,0
0.0333,29.25
0.0083,50
0,0
0.0083,58
0.0417,29.8
0.0083,59
0.0167,38
0.0333,46.75
0.0083,93
0,0
0.025,46
0,0
0.0167,56.5
0.075,66.1111
0.0333,28
0.0417,136
0.0583,56
0.025,53
0.0083,65
0.025,22.6667
0,0
0.0583,41
0.025,38.3333
0.025,48
0,0
0.0167,28.5
0.0417,46.6
0.025,71.6667
0.025,72
0.0167,47.5
0,0
0.0083,45
0.025,29.3333
0.0167,289.5
0.0417,43
0,0
0.0083,65
0.0167,80
0.0167,40
0.0333,118
0.0167,62
0,0
0.025,29
0.0167,54
0.0083,60
0.05,31.1667
0,0
0,0
0.0333,36.5
0.0083,47
0,0
0.0083,23
0.0167,61
0.025,56.6667
0.0417,67
0.0083,29
0.05,33.5
0.025,43
0.0333,45.25
0.025,51
0.075,36.2222
0,0
0.05,32.1667
0.0333,57.75
0,0
0.0167,39.5
0,0
0,0
0.025,30.3333
0.0083,42
0.025,34.6667
0.0167,30.5
0.0083,69
0.0083,51
0.05,42.1667
0.0083,38
0.0083,36
0.025,33.6667
0.0083,37
0.0333,32.5
0.025,78.3333
0.0083,80
0,0
0,0
0.025,47.6667
0.0167,64
0.0083,53
0.0417,121
0,0
0.05,43.5
0.05,48.3333
0,0
0,0
0,0
0,0
0.0083,57
0.0333,53.25
0.0167,30
0.025,77
0,0
0.025,82.3333
0.0167,41
0.0583,67.2857
0.025,55.6667
0.025,31.3333
0.025,37
0.0083,28
0.025,41.6667
0.025,40
0.0083,61
0,0
0.0167,47
0,0
0.0167,39.5
0.05,31.3333
0.0583,37.1429
0.0083,76
0,0
0.0167,40.5
0,0
0.0167,61
0.0083,76
0.0083,59
0.0083,46
0.025,28
0.0167,37
0.0667,44.75
0,0
0,0
0.0167,75.5
0,0
0.0583,54.2857
0,0
0.075,34
0.0167,74
0.0083,45
0,0
0,0
0.0417,78
0,0
0.0083,59
0.0333,104.75
0.0333,70.25
0.0167,34
0.0417,52
0.0333,73
0.025,50.3333
0.025,34.6667
0.0083,41
0.0167,50.5
0,0
0.0167,66.5
0.0167,78
0,0
0.0083,64
0.0167,66.5
0.025,79.3333
0.0167,27.5
0.0333,33.75
0.0167,30
0.0083,38
0.0167,43
0,0
0.0083,36
0.0333,59.5
0,0
0,0
0.0083,57
0,0
0,0
0.0167,34
0.0083,38
0.0083,61
0.0083,46
0,0
0.025,40
0.0167,38.5
0,0
0.0083,30
0.0333,35.75
0.025,34
0,0
0,0
0.0167,32
0.0083,84
0.075,71.1111
0,0
0.0417,98.2
0.025,71.6667
0,0
0,0
0.0167,67
0.0083,65
0.0167,31.5
0.0083,45
0.025,62
0,0
0.0333,71
0,0
0.0083,44
0,0
0,0
0.0333,35.25
0.0333,67.75
0.0583,57.2857
0,0
0.0167,63
0,0
0,0
0.0083,24
0.0083,63
0.0333,37.25
0.025,66.3333
0,0
0,0
0.0083,41
0.0083,25
0,0
0.0417,40.6
0.0333,44.5
0.0083,76
0.0333,59.25
0,0
0,0
0,0
0.0417,202
0.0333,49.25
0.0167,36
0,0
0.0833,79.3
0.0167,29.5
0.05,40.6667
0.0167,50
0,0
0.025,37.3333
0.025,45.6667
0.0083,40
0.0083,74
0.0083,35
0.0083,64
0.0167,41
0.0667,53.5
0.05,71
0,0
0.0333,58.5
0.0083,53
0,0
0.05,96
0.05,76.6667
0.025,64.6667
0.025,36
0.025,28.3333
0.0167,58.5
0,0
0.0083,29
0.0083,49
0,0
0.0333,64.25
0.025,41
0.0333,60.75
0.025,30.6667
0.0083,36
0.0583,38.5714
0.0583,66.5714
0.05,34
0.025,38.3333
0.05,52.6667
0.0167,64.5
0.0583,27.5714
0.075,49.6667
0.0083,62
0.0583,47
0,0
0.0917,40.5455
0.0167,37.5
0.0167,56.5
0,0
0.0917,51.1818
0.1333,60.6875
0.0167,107.5
0.0083,39
0,0
0.0083,66
0.0667,124.5
0.0583,48.4286
0.025,65.6667
0,0
0.0083,56
0,0
0.075,68
0.0167,61.5
0.05,33.6667
0,0
0.0083,27
0,0
0.075,34.3333
0.05,75
0.0167,38
0.0167,30
0.0083,29
0.0083,35
0,0
0.0167,58
0.0333,72
0.05,70.6667
0.0167,38.5
0.0167,30.5
0.0167,40
0.05,51.1667
0.0917,47.6364
0,0
0.0417,73
0.0667,63.125
0.0333,59.75
0.0333,40.75
0.025,66
0.025,72.6667
0.0333,52.75
0.0083,31
0.05,61.8333
0.0583,53.4286
0.0167,66.5
0.0167,316
0.0083,69
0.0167,86
0,0
0.0167,63
0.025,30.3333
0.0333,21.5
0,0
0,0
0.025,34.6667
0.0167,58.5
0.0667,55.75
0.025,81.3333
0,0
0.0333,52
0.0333,28.5
0.025,29.6667
0.025,68.6667
0.0167,62.5
0.025,58.3333
0.025,76.6667
0.025,34
0.0417,71
0.0083,24
0.0167,67.5
0.0167,46
0.0333,70
0.05,96
0,0
0.0417,74.4
0,0
0.0417,63.2
0.1417,83.1765
0.025,65.6667
0.0167,66.5
0.0083,22
0,0
0,0
0.0167,43.5
0,0
0.05,80.1667
0.025,23.6667
0.025,65
0.0083,80
0.0083,51
0.0083,23
0.025,56
0.0083,52
0,0
0.05,70.6667
0.0167,69
0.0417,62.6
0.1,66.1667
0.0333,27.75
0.0417,74.8
0.0333,71.25
0.0083,35
0.0417,63
0.0083,34
0.0083,74
0.0167,60
0,0
0.0083,50
0.0583,74.4286
0.0167,68
0.0167,27
0,0
0.025,72.6667
0.0083,51
0.0083,40
0.025,68
0,0
0.025,64.6667
0,0
0.025,65.3333
0,0
0,0
0.0333,70.75
0.1,97.4167
0.0167,39.5
0.05,92.5
0.05,79.1667
0.0167,62.5
0.025,75.3333
0.075,65.3333
0.0333,64.75
0.025,53.3333
0.0083,27
0.0167,20.5
0.125,34.3333
0,0
0.025,63.3333
0.0167,57.5
0.0417,66.4
0.0083,72
0.0333,60.25
0,0
0.0167,31.5
0.0167,81
0,0
0.0417,37.8
0,0
0,0
0,0
0,0
0.0333,53.75
0.0167,78
0,0
0.0167,56.5
0.0333,43.5
0.0167,64
0,0
0,0
0.0083,53
0.0083,56
0.0917,45.7273
0,0
0.0083,28
0.0083,178
0.0167,57.5
0.0083,84
0.1,39.4167
0.0167,55.5
0.0333,42
0.0083,66
0,0
0,0
0,0
0,0
0.05,37
0.0167,63
0.0667,32.625
0.0333,77.5
0.0333,63.75
0.0167,76
0,0
0,0
0.05,69
0.0667,65.25
0.0167,73
0.0167,34.5
0.0083,49
0.0167,76
0.0333,41.75
0.0167,47
0,0
0,0
0,0
0.0167,59.5
0,0
0.0583,36.5714
0.0083,49
0.0583,35.1429
0,0
0,0
0,0
0.1,77
0,0
0.0417,52.6
0.0083,27
0,0
0.0583,49.5714
